timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/08/20 15:06:05.526, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:06.527, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:06.527, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:06.527, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:07.528, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 90 %
2026/08/20 15:06:07.528, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:07.528, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:08.528, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:08.528, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:08.529, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:09.529, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:09.529, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:09.529, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:10.529, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:10.530, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:10.530, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:11.530, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:11.530, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:11.530, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:12.530, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 91 %
2026/08/20 15:06:12.531, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:12.531, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:13.531, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 93 %
2026/08/20 15:06:13.531, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:13.531, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:14.531, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 83 %
2026/08/20 15:06:14.532, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:14.532, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:15.536, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 91 %
2026/08/20 15:06:15.536, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:15.536, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:16.536, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 82 %
2026/08/20 15:06:16.537, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:16.537, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:17.537, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 88 %
2026/08/20 15:06:17.537, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:17.537, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:18.538, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 84 %
2026/08/20 15:06:18.538, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:18.538, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:19.538, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 93 %
2026/08/20 15:06:19.539, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:19.539, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:20.539, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:20.539, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:20.539, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:21.540, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:21.540, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:21.540, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:22.540, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:22.541, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:22.541, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:23.541, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:23.541, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:23.541, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:24.541, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:24.542, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:24.542, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:25.542, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 89 %
2026/08/20 15:06:25.542, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:25.542, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:26.542, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:26.543, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:26.543, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:27.543, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 90 %
2026/08/20 15:06:27.543, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:27.543, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:28.543, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 90 %
2026/08/20 15:06:28.544, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:28.544, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:29.548, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 89 %
2026/08/20 15:06:29.548, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:29.548, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:30.548, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 90 %
2026/08/20 15:06:30.549, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:30.549, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:31.549, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 90 %
2026/08/20 15:06:31.549, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:31.549, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:32.550, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 89 %
2026/08/20 15:06:32.550, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:32.550, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:33.550, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:33.550, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:33.551, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:34.551, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:34.551, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:34.551, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:35.555, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:35.555, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:35.555, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:36.555, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 91 %
2026/08/20 15:06:36.555, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:36.556, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:37.567, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:37.567, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:37.567, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:38.567, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:38.567, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:38.567, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:39.569, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 94 %
2026/08/20 15:06:39.569, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:39.569, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:40.569, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:40.569, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:40.569, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:41.569, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 93 %
2026/08/20 15:06:41.570, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:41.570, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:42.570, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:42.570, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:42.570, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:43.570, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:43.570, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:43.570, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:44.571, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:44.571, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:44.571, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:45.571, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 86 %
2026/08/20 15:06:45.571, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:45.571, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:46.573, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 91 %
2026/08/20 15:06:46.573, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:46.573, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:47.573, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 95 %
2026/08/20 15:06:47.574, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:47.574, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:48.574, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 88 %
2026/08/20 15:06:48.574, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:48.574, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:49.574, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:49.574, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:49.574, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:50.574, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 96 %
2026/08/20 15:06:50.575, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:50.575, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:51.575, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 97 %
2026/08/20 15:06:51.575, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:51.575, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:52.577, 0, NVIDIA L40S, 20377 MiB, 46068 MiB, 91 %
2026/08/20 15:06:52.577, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:52.577, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:53.577, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 96 %
2026/08/20 15:06:53.577, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:53.577, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:54.578, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 92 %
2026/08/20 15:06:54.578, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:54.578, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:55.578, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 73 %
2026/08/20 15:06:55.578, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:55.578, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:56.579, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 91 %
2026/08/20 15:06:56.579, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:56.579, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:57.580, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 93 %
2026/08/20 15:06:57.580, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:57.580, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:58.581, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 94 %
2026/08/20 15:06:58.581, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:58.581, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:59.584, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 89 %
2026/08/20 15:06:59.584, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:06:59.584, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:00.584, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 87 %
2026/08/20 15:07:00.585, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:00.585, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:01.585, 0, NVIDIA L40S, 20379 MiB, 46068 MiB, 92 %
2026/08/20 15:07:01.585, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:01.586, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:02.586, 0, NVIDIA L40S, 17601 MiB, 46068 MiB, 0 %
2026/08/20 15:07:02.586, 1, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
2026/08/20 15:07:02.587, 2, NVIDIA L40S, 42639 MiB, 46068 MiB, 0 %
